Year,Month,Listings,Sales,Avg_Sale
2000,January,407,176,"$105,543.00"
2000,February,518,219,"$112,632.00"
2000,March,682,302,"$112,275.00"
2000,April,560,306,"$111,985.00"
2000,May,746,380,"$112,661.00"
2000,June,701,346,"$115,028.00"
2000,July,612,303,"$112,233.00"
2000,August,675,338,"$114,242.00"
2000,September,566,320,"$108,595.00"
2000,October,485,268,"$114,106.00"
2000,November,467,223,"$120,714.00"
2000,December,220,139,"$106,954.00"
2001,January,564,203,"$116,241.00"
2001,February,509,230,"$110,442.00"
2001,March,664,324,"$115,324.00"
2001,April,700,321,"$123,406.00"
2001,May,787,371,"$117,912.00"
2001,June,707,347,"$122,156.00"
2001,July,606,356,"$116,238.00"
2001,August,680,339,"$113,940.00"
2001,September,516,287,"$118,015.00"
2001,October,501,309,"$113,020.00"
2001,November,389,286,"$116,130.00"
2001,December,197,171,"$109,444.00"
2002,January,565,218,"$109,917.00"
2002,February,452,284,"$108,786.00"
2002,March,565,317,"$120,595.00"
2002,April,648,414,"$118,375.00"
2002,May,681,424,"$121,805.00"
2002,June,569,342,"$121,252.00"
2002,July,628,350,"$121,251.00"
2002,August,576,322,"$115,701.00"
2002,September,469,282,"$123,335.00"
2002,October,486,257,"$125,153.00"
2002,November,355,256,"$122,597.00"
2002,December,245,159,"$113,837.00"
2003,January,458,202,"$123,249.00"
2003,February,451,240,"$123,395.00"
2003,March,577,302,"$123,901.00"
2003,April,596,351,"$127,075.00"
2003,May,682,369,"$126,674.00"
2003,June,605,345,"$126,229.00"
2003,July,665,416,"$127,764.00"
2003,August,512,306,"$124,455.00"
2003,September,580,321,"$126,762.00"
2003,October,485,332,"$122,887.00"
2003,November,364,218,"$121,455.00"
2003,December,267,175,"$124,621.00"
2004,January,440,191,"$121,612.00"
2004,February,444,252,"$130,168.00"
2004,March,625,392,"$126,590.00"
2004,April,720,364,"$135,549.00"
2004,May,680,380,"$135,532.00"
2004,June,664,432,"$136,501.00"
2004,July,583,367,"$129,657.00"
2004,August,634,365,"$130,894.00"
2004,September,585,338,"$130,326.00"
2004,October,483,254,"$132,646.00"
2004,November,410,228,"$139,169.00"
2004,December,271,165,"$144,911.00"
2005,January,432,162,"$129,207.00"
2005,February,471,261,"$142,740.00"
2005,March,576,337,"$142,857.00"
2005,April,728,408,"$146,714.00"
2005,May,780,510,"$145,548.00"
2005,June,687,435,"$139,728.00"
2005,July,623,431,"$145,275.00"
2005,August,635,421,"$146,718.00"
2005,September,604,347,"$149,525.00"
2005,October,544,314,"$139,912.00"
2005,November,434,301,"$152,747.00"
2005,December,267,185,"$152,442.00"
2006,January,480,218,"$149,922.00"
2006,February,503,276,"$148,856.00"
2006,March,589,377,"$156,720.00"
2006,April,612,355,"$155,633.00"
